17784765076N iot/window {"phase":"SIG2_WINDOW","idx":3,"average":0.002532,"adaptive_rate":89.84,"sample_count":449,"compute_ms":8.7650,"timestamp_us":1778476507423638,"signal":2,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":1796,"current_ma":69.70,"voltage_v":5.124,"power_mw":357.14,"energy_mj":8066.1484}
17784765126N iot/window {"phase":"SIG2_WINDOW","idx":4,"average":0.002532,"adaptive_rate":89.84,"sample_count":449,"compute_ms":8.8340,"timestamp_us":1778476512362709,"signal":2,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":1796,"current_ma":67.70,"voltage_v":5.124,"power_mw":346.89,"energy_mj":9940.7871}
17784765196N iot/window {"phase":"NOISY_p1","idx":0,"average":-0.237576,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3560,"timestamp_us":1778476519766230,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.141096,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":68.50,"voltage_v":5.124,"power_mw":350.99,"energy_mj":1663.0850}
17784765246N iot/window {"phase":"NOISY_p1","idx":1,"average":0.051213,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3530,"timestamp_us":1778476524662228,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.178686,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":131.30,"voltage_v":5.112,"power_mw":671.21,"energy_mj":3524.7759}
17784765296N iot/window {"phase":"NOISY_p1","idx":2,"average":-0.086335,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3460,"timestamp_us":1778476529558223,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.386730,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":131.30,"voltage_v":5.104,"power_mw":670.16,"energy_mj":5605.0977}
17784765346N iot/window {"phase":"NOISY_p1","idx":3,"average":0.081899,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3440,"timestamp_us":1778476534454220,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.177996,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":59.50,"voltage_v":5.124,"power_mw":304.88,"energy_mj":7392.0703}
17784765396N iot/window {"phase":"NOISY_p1","idx":4,"average":-0.131385,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3320,"timestamp_us":1778476539350208,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.138496,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":68.60,"voltage_v":5.124,"power_mw":351.51,"energy_mj":9128.4258}
17784765446N iot/window {"phase":"NOISY_p1","idx":0,"average":0.074049,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1630,"timestamp_us":1778476544247037,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.179175,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":70.30,"voltage_v":5.124,"power_mw":360.22,"energy_mj":10913.6221}
17784765496N iot/window {"phase":"NOISY_p1","idx":1,"average":0.321065,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1270,"timestamp_us":1778476549143000,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.567451,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":59.90,"voltage_v":5.124,"power_mw":306.93,"energy_mj":12861.8262}
17784765546N iot/window {"phase":"NOISY_p1","idx":2,"average":0.047499,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1460,"timestamp_us":1778476554039018,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":1.0000,"fpr":0.0000,"mean_err":0.153428,"tp":1,"fp":0,"fn":0,"tn":27,"bytes":192,"current_ma":67.30,"voltage_v":5.124,"power_mw":344.85,"energy_mj":14984.6514}
17784765596N iot/window {"phase":"NOISY_p1","idx":3,"average":0.257797,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1480,"timestamp_us":1778476558935022,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.490626,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":68.20,"voltage_v":5.124,"power_mw":349.46,"energy_mj":16984.9316}
17784765646N iot/window {"phase":"NOISY_p1","idx":4,"average":0.086636,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1120,"timestamp_us":1778476563830985,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.145924,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":62.80,"voltage_v":5.120,"power_mw":321.54,"energy_mj":18658.7012}
17784765696N iot/window {"phase":"NOISY_p5","idx":0,"average":-0.039545,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3360,"timestamp_us":1778476569065208,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.695092,"tp":0,"fp":0,"fn":2,"tn":26,"bytes":192,"current_ma":58.80,"voltage_v":5.124,"power_mw":301.29,"energy_mj":1655.4265}
17784765746N iot/window {"phase":"NOISY_p5","idx":1,"average":-0.246511,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3420,"timestamp_us":1778476573961216,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.654441,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":67.80,"voltage_v":5.124,"power_mw":347.41,"energy_mj":3482.8193}
17784765786N iot/window {"phase":"NOISY_p5","idx":2,"average":0.353723,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3410,"timestamp_us":1778476578857215,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.643194,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":81.80,"voltage_v":5.120,"power_mw":418.82,"energy_mj":5297.3867}
17784765836N iot/window {"phase":"NOISY_p5","idx":3,"average":-0.516627,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3300,"timestamp_us":1778476583753202,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.885211,"tp":0,"fp":0,"fn":2,"tn":26,"bytes":192,"current_ma":59.40,"voltage_v":5.124,"power_mw":304.37,"energy_mj":7096.9707}
17784765886N iot/window {"phase":"NOISY_p5","idx":4,"average":0.022243,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3310,"timestamp_us":1778476588649205,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.139434,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":66.40,"voltage_v":5.124,"power_mw":340.23,"energy_mj":8848.9668}
17784765936N iot/window {"phase":"NOISY_p5","idx":0,"average":-0.215138,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1260,"timestamp_us":1778476593545998,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.653056,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":67.80,"voltage_v":5.120,"power_mw":347.14,"energy_mj":10809.8389}
17784765986N iot/window {"phase":"NOISY_p5","idx":1,"average":0.062304,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1420,"timestamp_us":1778476598442016,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.480112,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":65.00,"voltage_v":5.124,"power_mw":333.06,"energy_mj":12616.7539}
17784766036N iot/window {"phase":"NOISY_p5","idx":2,"average":0.042435,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1510,"timestamp_us":1778476603338025,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.164532,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":68.60,"voltage_v":5.124,"power_mw":351.51,"energy_mj":14308.1250}
17784766086N iot/window {"phase":"NOISY_p5","idx":3,"average":0.298169,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1500,"timestamp_us":1778476608234024,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":1.0000,"fpr":0.0000,"mean_err":0.236911,"tp":1,"fp":0,"fn":0,"tn":27,"bytes":192,"current_ma":69.70,"voltage_v":5.124,"power_mw":357.14,"energy_mj":16056.7158}
17784766136N iot/window {"phase":"NOISY_p5","idx":4,"average":-0.084930,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1180,"timestamp_us":1778476613129994,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.365691,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":64.50,"voltage_v":5.120,"power_mw":330.24,"energy_mj":17828.6738}
17784766186N iot/window {"phase":"NOISY_p10","idx":0,"average":0.343862,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3570,"timestamp_us":1778476618364235,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":0.895862,"tp":0,"fp":0,"fn":2,"tn":26,"bytes":192,"current_ma":119.90,"voltage_v":5.100,"power_mw":611.49,"energy_mj":1774.4043}
17784766236N iot/window {"phase":"NOISY_p10","idx":1,"average":0.054767,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3460,"timestamp_us":1778476623260222,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.474019,"tp":0,"fp":0,"fn":4,"tn":24,"bytes":192,"current_ma":131.30,"voltage_v":5.104,"power_mw":670.16,"energy_mj":3665.5803}
17784766286N iot/window {"phase":"NOISY_p10","idx":2,"average":-0.326672,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3450,"timestamp_us":1778476628156220,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":0.691228,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":66.20,"voltage_v":5.120,"power_mw":338.94,"energy_mj":5573.8027}
17784766336N iot/window {"phase":"NOISY_p10","idx":3,"average":0.241218,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3530,"timestamp_us":1778476633052229,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.832811,"tp":0,"fp":0,"fn":5,"tn":23,"bytes":192,"current_ma":69.00,"voltage_v":5.120,"power_mw":353.28,"energy_mj":7287.8135}
17784766386N iot/window {"phase":"NOISY_p10","idx":4,"average":0.205807,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3330,"timestamp_us":1778476637948207,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.006066,"tp":0,"fp":0,"fn":2,"tn":26,"bytes":192,"current_ma":59.00,"voltage_v":5.120,"power_mw":302.08,"energy_mj":9007.3984}
17784766426N iot/window {"phase":"NOISY_p10","idx":0,"average":0.081081,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1350,"timestamp_us":1778476642845007,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":0.561544,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":68.40,"voltage_v":5.124,"power_mw":350.48,"energy_mj":10728.1025}
17784766476N iot/window {"phase":"NOISY_p10","idx":1,"average":0.413253,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1450,"timestamp_us":1778476647741018,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.058809,"tp":0,"fp":0,"fn":3,"tn":25,"bytes":192,"current_ma":75.10,"voltage_v":5.120,"power_mw":384.51,"energy_mj":12486.8984}
